sigmoid_colon	stomach
ENSG00000000003	0.21	0.49
ENSG00000000005	0.01	0.00
ENSG00000000419	1.46	0.24
ENSG00000000457	0.37	0.28
ENSG00000000460	0.20	2.18
ENSG00000000938	0.33	0.15
ENSG00000000971	1.04	2.92
ENSG00000001036	0.68	0.29
ENSG00000001084	1.47	3.32
ENSG00000001167	0.35	0.42
ENSG00000001460	0.13	0.01
ENSG00000001461	1.09	2.22
ENSG00000001497	0.60	0.44
ENSG00000001561	0.46	0.40
ENSG00000001617	0.33	0.71
ENSG00000001626	0.00	0.00
ENSG00000001629	0.98	2.71
ENSG00000001630	0.78	0.18
ENSG00000001631	1.95	5.64
ENSG00000002016	0.37	0.98
ENSG00000002330	3.26	1.46
ENSG00000002549	1.71	1.87
ENSG00000002586	9.98	3.90
ENSG00000002587	0.03	0.00
ENSG00000002726	0.04	0.00
ENSG00000002745	0.04	0.00
ENSG00000002746	0.03	0.03
ENSG00000002822	0.34	0.56
ENSG00000002834	1.23	3.14
ENSG00000002919	0.54	0.81
ENSG00000002933	0.78	0.33
ENSG00000003056	2.73	1.11
ENSG00000003096	0.26	0.18
ENSG00000003137	0.07	0.01
ENSG00000003147	0.23	10.27
ENSG00000003249	0.00	0.59
ENSG00000003393	0.52	0.24
ENSG00000003400	0.15	0.37
ENSG00000003402	3.18	9.53
ENSG00000003436	2.22	1.29
ENSG00000003509	0.82	0.44
ENSG00000003756	4.20	5.53
ENSG00000003987	0.07	0.00
ENSG00000003989	0.42	0.08
ENSG00000004059	4.04	1.81
ENSG00000004139	0.24	0.61
ENSG00000004142	1.85	1.81
ENSG00000004399	2.06	1.19
ENSG00000004455	2.41	1.60
ENSG00000004468	0.09	0.12
ENSG00000004478	0.62	0.64
ENSG00000004487	1.50	1.93
ENSG00000004534	1.72	3.40
ENSG00000004660	0.18	0.18
ENSG00000004700	1.13	0.41
ENSG00000004766	1.03	0.33
ENSG00000004776	3.40	5.00
ENSG00000004777	0.17	0.58
ENSG00000004779	4.63	1.66
ENSG00000004799	7.15	1.88
ENSG00000004809	0.01	0.00
ENSG00000004838	0.00	0.02
ENSG00000004846	0.13	0.00
ENSG00000004848	0.00	0.04
ENSG00000004864	0.32	0.27
ENSG00000004866	0.64	0.68
ENSG00000004897	1.73	0.37
ENSG00000004939	0.00	0.00
ENSG00000004948	0.00	0.00
ENSG00000004961	0.58	0.03
ENSG00000004975	1.03	0.40
ENSG00000005001	0.00	0.04
ENSG00000005007	1.56	0.59
ENSG00000005020	0.54	2.85
ENSG00000005022	10.02	3.44
ENSG00000005059	0.23	0.02
ENSG00000005073	0.66	0.00
ENSG00000005075	0.83	0.04
ENSG00000005100	0.21	0.11
ENSG00000005102	0.07	0.00
ENSG00000005108	0.17	0.04
ENSG00000005156	0.70	1.84
ENSG00000005175	0.63	0.49
ENSG00000005187	0.35	1.76
ENSG00000005189	0.05	0.71
ENSG00000005194	0.48	3.29
ENSG00000005206	0.49	2.42
ENSG00000005238	0.53	0.32
ENSG00000005243	1.69	0.57
ENSG00000005249	1.12	0.23
ENSG00000005302	0.65	0.39
ENSG00000005339	1.41	2.04
ENSG00000005379	0.46	1.90
ENSG00000005381	0.01	0.00
ENSG00000005421	0.00	0.00
ENSG00000005436	0.94	0.37
ENSG00000005448	0.21	0.22
ENSG00000005469	0.39	0.09
ENSG00000005471	0.03	0.01
ENSG00000005483	3.08	1.60
ENSG00000005486	0.85	0.56
ENSG00000005513	0.08	0.01
ENSG00000005700	0.72	0.71
ENSG00000005801	0.46	0.43
ENSG00000005810	2.93	0.56
ENSG00000005812	2.70	0.34
ENSG00000005844	0.03	0.13
ENSG00000005882	1.14	1.43
ENSG00000005884	1.15	6.10
ENSG00000005889	1.60	0.77
ENSG00000005893	2.41	0.80
ENSG00000005961	0.01	0.00
ENSG00000005981	0.00	0.00
ENSG00000006007	3.01	0.85
ENSG00000006015	2.85	1.92
ENSG00000006016	0.81	0.08
ENSG00000006025	0.08	1.38
ENSG00000006042	1.29	1.06
ENSG00000006047	0.05	0.03
ENSG00000006059	0.00	0.00
ENSG00000006062	0.49	0.29
ENSG00000006071	0.05	0.83
ENSG00000006116	0.00	0.00
ENSG00000006118	0.06	0.48
ENSG00000006125	1.34	1.60
ENSG00000006128	0.75	0.03
ENSG00000006194	0.95	1.04
ENSG00000006210	0.24	0.16
ENSG00000006282	1.61	27.26
ENSG00000006283	0.01	0.00
ENSG00000006327	0.29	1.74
ENSG00000006377	0.00	0.00
ENSG00000006432	0.01	0.16
ENSG00000006451	0.55	0.86
ENSG00000006453	0.01	1.58
ENSG00000006459	0.65	0.55
ENSG00000006468	0.38	0.14
ENSG00000006530	0.41	0.33
ENSG00000006534	0.35	0.50
ENSG00000006555	0.03	0.15
ENSG00000006576	0.52	0.96
ENSG00000006606	0.01	0.00
ENSG00000006607	0.54	1.89
ENSG00000006611	0.07	0.21
ENSG00000006625	0.68	0.00
ENSG00000006634	0.18	0.37
ENSG00000006638	0.01	0.00
ENSG00000006652	1.43	2.55
ENSG00000006659	0.00	0.00
ENSG00000006695	0.67	0.58
ENSG00000006704	0.48	0.44
ENSG00000006712	1.05	1.73
ENSG00000006715	1.09	0.92
ENSG00000006740	0.08	0.20
ENSG00000006744	1.42	3.50
ENSG00000006747	0.05	0.14
ENSG00000006756	0.25	1.45
ENSG00000006757	0.15	0.64
ENSG00000006788	0.00	0.11
ENSG00000006831	0.75	0.66
ENSG00000006837	0.23	0.00
ENSG00000007001	0.00	0.00
ENSG00000007038	0.00	0.01
ENSG00000007047	0.38	0.61
ENSG00000007062	0.07	0.28
ENSG00000007080	1.75	1.04
ENSG00000007129	0.12	0.00
ENSG00000007168	2.93	5.14
ENSG00000007171	0.00	0.00
ENSG00000007174	0.00	0.41
ENSG00000007202	2.38	4.97
ENSG00000007216	0.00	0.00
ENSG00000007237	1.81	0.97
ENSG00000007255	0.91	0.85
ENSG00000007264	0.05	1.09
ENSG00000007306	0.04	0.00
ENSG00000007312	0.05	0.00
ENSG00000007314	0.02	0.06
ENSG00000007341	0.80	1.93
ENSG00000007350	0.00	0.00
ENSG00000007372	0.00	0.01
ENSG00000007376	0.30	0.86
ENSG00000007384	0.59	4.16
ENSG00000007392	1.38	2.73
ENSG00000007402	0.03	0.04
ENSG00000007516	0.03	0.15
ENSG00000007520	3.02	0.92
ENSG00000007541	0.49	1.06
ENSG00000007545	0.18	0.31
ENSG00000007866	1.58	1.10
ENSG00000007908	0.00	0.00
ENSG00000007923	0.59	1.58
ENSG00000007933	0.05	0.04
ENSG00000007944	1.08	0.49
ENSG00000007952	0.01	0.00
ENSG00000007968	0.00	0.04
ENSG00000008018	6.76	2.52
ENSG00000008056	0.03	0.00
ENSG00000008083	0.17	0.28
ENSG00000008086	0.15	0.48
ENSG00000008118	0.04	0.00
ENSG00000008128	0.95	4.08
ENSG00000008130	1.15	1.64
ENSG00000008196	0.00	0.00
ENSG00000008197	0.00	0.00
ENSG00000008226	0.01	0.03
ENSG00000008256	0.85	0.55
ENSG00000008277	0.06	0.03
ENSG00000008282	5.19	3.52
ENSG00000008283	0.29	1.09
ENSG00000008294	2.25	1.36
ENSG00000008300	0.01	0.05
ENSG00000008311	0.68	1.45
ENSG00000008323	0.07	0.72
ENSG00000008324	0.43	0.17
ENSG00000008382	0.25	0.05
ENSG00000008394	2.61	2.31
ENSG00000008405	0.58	1.06
ENSG00000008438	0.00	0.00
ENSG00000008441	1.77	1.98
ENSG00000008513	0.29	0.83
ENSG00000008516	0.00	0.00
ENSG00000008517	0.24	11.32
ENSG00000008710	2.66	10.31
ENSG00000008735	0.05	0.02
ENSG00000008838	0.91	3.06
ENSG00000008853	0.17	0.54
ENSG00000008869	0.61	1.19
ENSG00000008952	2.22	0.27
ENSG00000008988	155.81	133.38
ENSG00000009307	58.28	15.27
ENSG00000009335	2.37	1.54
ENSG00000009413	3.45	3.82
ENSG00000009694	0.09	0.02
ENSG00000009709	0.00	0.00
ENSG00000009724	0.00	0.00
ENSG00000009765	0.00	0.01
ENSG00000009780	0.68	0.25
ENSG00000009790	0.03	0.05
ENSG00000009830	0.48	0.40
ENSG00000009844	0.96	0.35
ENSG00000009950	0.42	0.36
ENSG00000009954	1.47	1.17
ENSG00000010017	1.40	0.40
ENSG00000010030	0.01	0.00
ENSG00000010072	0.45	1.40
ENSG00000010165	0.61	1.03
ENSG00000010219	1.79	0.78
ENSG00000010244	2.89	5.82
ENSG00000010256	5.62	6.95
ENSG00000010270	1.71	1.38
ENSG00000010278	12.82	5.70
ENSG00000010282	0.00	0.00
ENSG00000010292	0.33	0.40
ENSG00000010295	0.69	0.04
ENSG00000010310	0.00	0.19
ENSG00000010318	0.28	0.35
ENSG00000010319	0.15	0.01
ENSG00000010322	1.51	3.31
ENSG00000010327	3.35	4.78
ENSG00000010361	0.59	0.13
ENSG00000010379	0.00	0.00
ENSG00000010404	2.33	3.11
ENSG00000010438	0.25	0.04
ENSG00000010539	0.19	0.14
ENSG00000010610	0.33	0.58
ENSG00000010626	0.60	0.19
ENSG00000010671	0.18	0.03
ENSG00000010704	0.22	0.11
ENSG00000010803	1.48	1.01
ENSG00000010810	1.61	1.83
ENSG00000010818	0.37	0.33
ENSG00000010932	0.01	0.00
ENSG00000011007	0.73	1.21
ENSG00000011009	0.63	1.51
ENSG00000011021	0.34	1.11
ENSG00000011028	0.96	0.29
ENSG00000011052	0.23	0.30
ENSG00000011083	0.00	0.00
ENSG00000011105	0.50	0.10
ENSG00000011114	1.19	0.45
ENSG00000011132	0.51	0.31
ENSG00000011143	0.19	0.07
ENSG00000011198	0.48	0.62
ENSG00000011201	0.03	0.04
ENSG00000011243	2.77	7.19
ENSG00000011258	0.45	1.04
ENSG00000011260	0.56	0.08
ENSG00000011275	0.90	0.82
ENSG00000011295	1.22	1.00
ENSG00000011304	1.88	4.25
ENSG00000011332	0.00	0.00
ENSG00000011347	0.03	0.10
ENSG00000011376	0.33	0.17
ENSG00000011405	1.75	1.61
ENSG00000011422	0.09	0.43
ENSG00000011426	0.10	0.30
ENSG00000011451	1.05	3.04
ENSG00000011454	2.55	2.27
ENSG00000011465	45.43	4.25
ENSG00000011478	0.12	0.17
ENSG00000011485	1.23	2.05
ENSG00000011523	0.90	0.89
ENSG00000011566	2.03	2.13
ENSG00000011590	0.00	0.00
ENSG00000011600	3.61	0.21
ENSG00000011638	3.77	2.31
ENSG00000011677	0.01	0.00
ENSG00000012048	0.15	0.35
ENSG00000012061	1.85	1.02
ENSG00000012124	0.09	0.01
ENSG00000012171	0.70	2.90
ENSG00000012174	0.37	0.10
ENSG00000012211	0.25	0.16
ENSG00000012223	0.01	4.27
ENSG00000012232	0.88	0.17
ENSG00000012504	0.00	0.00
ENSG00000012660	2.08	0.57
ENSG00000012779	0.65	0.44
ENSG00000012817	1.54	1.14
ENSG00000012822	6.50	6.39
ENSG00000012963	0.80	0.28
ENSG00000012983	4.17	6.69
ENSG00000013016	0.13	0.01
ENSG00000013275	2.10	0.95
ENSG00000013288	0.55	0.68
ENSG00000013293	0.12	0.00
ENSG00000013297	0.31	0.00
ENSG00000013306	1.13	2.99
ENSG00000013364	1.80	3.24
ENSG00000013374	2.08	0.75
ENSG00000013375	0.24	2.16
ENSG00000013392	0.07	0.42
ENSG00000013441	4.75	4.64
ENSG00000013503	0.15	0.71
ENSG00000013523	0.28	0.73
ENSG00000013561	1.75	1.52
ENSG00000013563	0.62	1.09
ENSG00000013573	0.42	2.35
ENSG00000013583	0.89	0.01
ENSG00000013588	0.05	1.33
ENSG00000013619	0.08	0.04
ENSG00000013725	0.00	0.00
ENSG00000013810	0.12	1.67
ENSG00000014123	0.84	0.65
ENSG00000014138	0.20	1.18
ENSG00000014164	0.15	0.24
ENSG00000014216	2.38	7.30
ENSG00000014257	0.02	0.68
ENSG00000014641	6.10	5.31
ENSG00000014824	1.15	1.92
ENSG00000014914	0.45	0.08
ENSG00000014919	1.00	0.25
ENSG00000015133	0.03	0.95
ENSG00000015153	1.48	0.82
ENSG00000015171	3.90	6.47
ENSG00000015285	0.12	0.13
ENSG00000015413	0.00	0.00
ENSG00000015475	0.80	0.90
ENSG00000015479	6.30	3.49
ENSG00000015520	0.01	0.11
ENSG00000015532	0.53	2.70
ENSG00000015568	0.80	0.14
ENSG00000015592	0.18	0.00
ENSG00000015676	1.35	3.30
ENSG00000016082	0.03	0.34
ENSG00000016391	0.03	0.31
ENSG00000016402	0.02	0.01
ENSG00000016490	0.00	0.00
ENSG00000016602	0.07	0.00
ENSG00000016864	1.37	0.21
ENSG00000017260	1.31	0.46
ENSG00000017427	0.74	0.02
ENSG00000017483	0.13	0.16
ENSG00000017797	1.76	0.96
ENSG00000018189	1.88	2.69
ENSG00000018236	0.66	1.53
ENSG00000018280	0.53	0.20
ENSG00000018408	8.91	2.45
ENSG00000018510	0.96	0.60
ENSG00000018610	0.41	0.11
ENSG00000018625	2.53	2.34
ENSG00000018699	0.63	0.12
ENSG00000018869	0.12	0.00
ENSG00000019102	0.01	3.30
ENSG00000019144	2.52	0.77
ENSG00000019169	0.45	0.01
ENSG00000019186	0.00	0.00
ENSG00000019485	0.64	0.10
ENSG00000019505	0.12	0.03
ENSG00000019549	0.31	0.19
ENSG00000019582	5.12	10.86
ENSG00000019991	0.16	0.25
ENSG00000019995	1.15	0.27
ENSG00000020129	0.41	2.09
ENSG00000020181	0.46	0.03
ENSG00000020256	0.27	0.22
ENSG00000020426	1.12	0.23
ENSG00000020577	2.30	0.44
ENSG00000020633	0.01	0.00
ENSG00000020922	0.36	0.15
ENSG00000021300	2.54	0.30
ENSG00000021355	0.61	0.23
ENSG00000021461	0.04	0.00
ENSG00000021488	0.01	0.00
ENSG00000021574	0.39	0.06
ENSG00000021645	1.23	0.93
ENSG00000021762	1.31	1.03
ENSG00000021776	0.59	0.35
ENSG00000021826	0.08	0.01
ENSG00000021852	0.00	0.00
ENSG00000022267	39.49	14.59
ENSG00000022277	1.75	1.40
ENSG00000022355	0.00	0.03
