File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF530NQM	bigWig	bigWig		signal p-value	GRCh38	ENCSR158WBG	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										H3K4me1-human	DNA						2019-08-01	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF392ZIV/, /files/ENCFF829IOW/	1787130156	ENCODE Processing Pipeline	17fb333d6ff7d10be594dcb4f34797f9		https://www.encodeproject.org/files/ENCFF530NQM/@@download/ENCFF530NQM.bigWig				released	s3://encode-public/2020/09/22/cd88223a-8cb1-4b5e-be97-997e693be4b0/ENCFF530NQM.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/22/cd88223a-8cb1-4b5e-be97-997e693be4b0/ENCFF530NQM.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF420SUI	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR158WBG	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										H3K4me1-human	DNA						2019-08-01	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF392ZIV/, /files/ENCFF356LFX/, /files/ENCFF829IOW/	1547329	ENCODE Processing Pipeline	5e70dfb31f7f9f2adb188b3148520364		https://www.encodeproject.org/files/ENCFF420SUI/@@download/ENCFF420SUI.bed.gz				released	s3://encode-public/2020/09/22/f9c5f316-ebbb-4b73-843a-0cc80076b7c9/ENCFF420SUI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/22/f9c5f316-ebbb-4b73-843a-0cc80076b7c9/ENCFF420SUI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF372FFI	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR158WBG	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										H3K4me1-human	DNA						2019-08-01	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF420SUI/	3427252	ENCODE Processing Pipeline	df47bfc7460272f3aed67502d08d3655		https://www.encodeproject.org/files/ENCFF372FFI/@@download/ENCFF372FFI.bigBed				released	s3://encode-public/2020/09/22/b22d29ab-8760-4e99-bd01-634240ce00df/ENCFF372FFI.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/22/b22d29ab-8760-4e99-bd01-634240ce00df/ENCFF372FFI.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF917WXV	bigWig	bigWig		signal p-value	GRCh38	ENCSR333HMT	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K36me3-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF076ONX/, /files/ENCFF299QLA/	1810521786	ENCODE Processing Pipeline	d0b7979b1f4345e7338dba1f60dd3221		https://www.encodeproject.org/files/ENCFF917WXV/@@download/ENCFF917WXV.bigWig				released	s3://encode-public/2020/09/22/bb0b96f8-d012-4e5d-83c0-5571830af8d4/ENCFF917WXV.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/22/bb0b96f8-d012-4e5d-83c0-5571830af8d4/ENCFF917WXV.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF913SGA	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR333HMT	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K36me3-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF076ONX/, /files/ENCFF356LFX/, /files/ENCFF299QLA/	1315141	ENCODE Processing Pipeline	7249d45c9581e1cc88c2ef7dcf26e642		https://www.encodeproject.org/files/ENCFF913SGA/@@download/ENCFF913SGA.bed.gz				released	s3://encode-public/2020/09/22/21ec92df-fd77-4170-9505-a95a18855be1/ENCFF913SGA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/22/21ec92df-fd77-4170-9505-a95a18855be1/ENCFF913SGA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF122ZZM	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR333HMT	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K36me3-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF913SGA/	2580029	ENCODE Processing Pipeline	d32075dfa999bbcc088cd74942992732		https://www.encodeproject.org/files/ENCFF122ZZM/@@download/ENCFF122ZZM.bigBed				released	s3://encode-public/2020/09/22/6f3497f6-0b05-4e0a-a79f-1568c96bfa64/ENCFF122ZZM.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/22/6f3497f6-0b05-4e0a-a79f-1568c96bfa64/ENCFF122ZZM.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF928WZU	bigWig	bigWig		signal p-value	GRCh38	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF076ONX/, /files/ENCFF633SJK/	1280784200	ENCODE Processing Pipeline	c582df5a81c5db73964434b7501b8258		https://www.encodeproject.org/files/ENCFF928WZU/@@download/ENCFF928WZU.bigWig				released	s3://encode-public/2020/09/21/59dae71a-a836-4ab5-b54f-8fe5b0c949c6/ENCFF928WZU.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/59dae71a-a836-4ab5-b54f-8fe5b0c949c6/ENCFF928WZU.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF872UHN	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF414SKU/	2980089	ENCODE Processing Pipeline	2207b7b3378df7776e7ecdc2aa1a5de0		https://www.encodeproject.org/files/ENCFF872UHN/@@download/ENCFF872UHN.bigBed				released	s3://encode-public/2020/09/21/c38cd923-008e-4c39-a49f-feaf05263d93/ENCFF872UHN.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/c38cd923-008e-4c39-a49f-feaf05263d93/ENCFF872UHN.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF414SKU	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF076ONX/, /files/ENCFF356LFX/, /files/ENCFF633SJK/	1512016	ENCODE Processing Pipeline	392d9179e205410cddb37c9c785e7753		https://www.encodeproject.org/files/ENCFF414SKU/@@download/ENCFF414SKU.bed.gz				released	s3://encode-public/2020/09/21/d8510939-6ae0-49cb-babb-d4e5c79b0662/ENCFF414SKU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/d8510939-6ae0-49cb-babb-d4e5c79b0662/ENCFF414SKU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF091SMG	bigWig	bigWig		signal p-value	GRCh38	ENCSR475TRZ	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										H3K9me3-human	DNA						2019-02-12	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF829IOW/, /files/ENCFF230HDI/	1369760242	ENCODE Processing Pipeline	aeaf5ca738adb619c062776d484e03bf		https://www.encodeproject.org/files/ENCFF091SMG/@@download/ENCFF091SMG.bigWig				released	s3://encode-public/2020/09/23/e769a798-7340-46e4-988a-e079623db735/ENCFF091SMG.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/23/e769a798-7340-46e4-988a-e079623db735/ENCFF091SMG.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
